Aarstal;AG1;AG2;AG3;AG4;AG5;AG_i_alt;Gift_Separerede;Ugift;Fraskilte;Enkestand;AS_kvinder;AS_G_kvinder;Husmodre_U_erhverv
1960;288400;305900;304400;280200;374600;1553500;1092187;971999;59337;177374;515000;199660;874247
1961;290600;299700;306900;283700;383600;1564500;1100149;973913;59210;182710;NA;NA;NA
1962;294800;294500;308500;287000;393200;1578000;1110850;975729;61123;185974;NA;NA;NA
1963;303400;292200;307000;290300;402500;1595400;1121934;977714;62811;189691;NA;NA;NA
1964;314300;288000;306900;293200;411300;1613700;1133360;979700;64636;193559;NA;NA;NA
1965;326800;285200;306500;295400;420800;1634700;1145227;981283;66517;197604;NA;285266;844701
1966;340300;283100;306400;295600;430200;1655600;1158352;981464;68255;201939;NA;NA;NA
1967;354200;282400;306100;295700;438800;1677200;1170621;983436;70244;206112;861900;NA;NA
1968;366000;283400;304800;295300;448600;1698100;1182820;982319;72589;210497;NA;NA;NA
1969;373700;284400;302800;294700;459700;1715300;1192516;978063;75631;214721;900800;567000;590200
1970;380600;286500;301200;291900;471500;1731700;1200719;975392;79260;219054;918100;588500;573600
1971;388192;289949;295847;294257;482556;1750801;1203777;974114;86538;226355;942900;617000;556500
1972;391098;294046;290528;295825;493172;1764669;1209655;979372;90433;226000;973200;639449;530300
1973;393099;301962;288156;294522;503320;1781059;1206178;987437;97709;231403;992100;652795;515558
1974;392796;312588;283970;294294;513504;1797152;1200340;996703;104079;236898;1014700;664722;504956
1975;388567;324736;281252;293559;522850;1810964;1196795;1002709;109151;241538;1022800;674186;494960
1976;380599;337880;279117;293628;530274;1821498;1190441;1007858;114324;245846;1013900;689934;472468
1977;373832;351936;278331;293196;536634;1833929;1184335;1013316;119216;250185;1048100;716001;444810
1978;368076;364120;279623;291907;544489;1848215;1181180;1017525;124081;254329;1078500;750336;405245
1979;365148;373400;281012;290165;551764;1861489;1173740;1024569;129221;258417;1144300;753764;393521
1980;364316;380754;283246;288602;557033;1873951;NA;NA;NA;NA;NA;NA;NA
1981;363376;386660;285987;283021;566104;1885148;NA;NA;NA;NA;1188500;729000;NA
1982;364079;389918;290062;277919;573835;1895813;NA;NA;NA;NA;NA;NA;NA
1983;364976;390383;297508;275397;579236;1907500;NA;NA;NA;NA;1240900;745000;NA
1984;367919;389275;307786;271516;584496;1920992;NA;NA;NA;NA;1239000;703000;NA
1985;371987;384938;319925;268940;589248;1935038;NA;NA;NA;NA;1254000;713000;NA
1986;377819;379285;333583;267142;592579;1950408;NA;NA;NA;NA;1290000;715000;NA
1987;384912;373008;347641;266483;595434;1967478;NA;NA;NA;NA;1285000;731000;NA
1988;388927;367531;359608;267592;597146;1980804;NA;NA;NA;NA;1330000;727000;NA
1989;388537;364263;368421;268950;598355;1988526;NA;NA;NA;NA;1328000;721000;NA
1990;387682;362941;375408;271097;598424;1995552;NA;NA;NA;NA;1352000;NA;NA
1991;386683;362932;381571;274064;598287;2003537;NA;NA;NA;NA;1363000;NA;NA
