Aarstal;BFT;AS_mand;AS_kvinder;AS_samlet;rural_BF;urban_BF
1960;4565500;1447500;515000;1962500;1187030;3378470
1961;4593800;NA;NA;NA;1194388;3399412
1962;4629600;NA;NA;NA;1157400;3472200
1963;4665900;NA;NA;NA;1119816;3546084
1964;4703200;NA;NA;NA;1128768;3574432
1965;4741000;NA;NA;NA;1090430;3650570
1966;4777000;NA;NA;NA;1050940;3726060
1967;4817700;1478300;861900;2340200;1059894;3757806
1968;4852900;NA;NA;NA;1019109;3833791
1969;4876800;1455400;900800;2356200;1024128;3852672
1970;4906900;1462100;918100;2380200;981380;3925520
1971;4950598;1466200;942900;2409100;990119,6;3960478,4
1972;4975653;1451000;973200;2424200;945374,07;4030278,93
1973;5007538;1454200;992100;2446300;951432,22;4056105,78
1974;5036184;1464000;1014700;2478600;906513,12;4129670,88
1975;5054410;1462800;1022800;2485600;909793,8;4144616,2
1976;5065313;1481100;1013900;2495000;861103,21;4204209,79
1977;5079879;1489400;1048100;2537500;863579,43;4216299,57
1978;5096959;1499600;1078500;2578100;866483,03;4230475,97
1979;5111536;1486400;1144300;2630700;868961,12;4242574,88
1980;5122065;NA;NA;NA;819530,4;4302534,6
1981;5123989;1485900;1188500;2874400;819838,24;4304150,76
1982;5119155;NA;NA;NA;819064,8;4300090,2
1983;5116464;1491000;1240900;2731900;818634,24;4297829,76
1984;5112130;1481000;1239000;2720000;817940,8;4294189,2
1985;5111108;1499000;1254000;2753000;817777,28;4293330,72
1986;5116273;1526000;1290000;2816000;818603,68;4297669,32
1987;5124794;1514000;1285000;2799000;768719,1;4356074,9
1988;5129254;1573000;1330000;2903000;769388,1;4359865,9
1989;5129778;1571000;1328000;2899000;769466,7;4360311,3
1990;5135409;1576000;1352000;2928000;770311,35;4365097,65
1991;5146469;1565000;1363000;2928000;771970,35;4374498,65
